label,text
spam,You are selected for a FREE voucher! Reply STOP to unsubscribe.
spam,Security alert: suspicious login detected. Reset at http://offer-now.com.
ham,Let’s work on the project this weekend.
ham,I'll be late by 10 minutes.
ham,Did you receive my email?
spam,Congratulations! You have won a iPhone. Click http://secure-check.com to claim now.
ham,Happy birthday! Have a great day.
spam,You've been chosen for a gift card. Act now: http://bit.ly/claim.
ham,Can you send me the notes from today's lecture?
spam,Hot stock tip! Double your money. More info: http://tinyurl.com/verify.
ham,Sharing the slides shortly.
ham,Don't forget the class at 2pm.
ham,Let’s have lunch at Maldives around 10am.
spam,Congratulations! You have won a MacBook. Click http://tinyurl.com/verify to claim now.
spam,URGENT: Your account will be suspended. Verify at http://tinyurl.com/verify.
spam,Security alert: suspicious login detected. Reset at http://secure-check.com.
ham,Server maintenance scheduled at 8pm.
ham,I'll call you after 6pm.
ham,Where are you now?
spam,URGENT: Your account will be suspended. Verify at http://secure-check.com.
ham,Can you send me the notes from today's lecture?
ham,Can you send me the notes from today's lecture?
spam,You've been chosen for a voucher. Act now: http://tinyurl.com/verify.
spam,Get rich quick! Earn $500 per week. Sign up at http://bit.ly/claim.
spam,Hot stock tip! Double your money. More info: http://bit.ly/claim.
spam,Exclusive deal ends today. Confirm here: http://secure-check.com.
spam,Final notice: Outstanding payment of $500. Pay at http://offer-now.com.
ham,The assignment is due on Friday.
ham,Call me when you're free.
ham,Meeting rescheduled to 2pm.
spam,Congratulations! You have won a smartwatch. Click http://tinyurl.com/verify to claim now.
spam,New message: 'You won'. Read at http://secure-check.com.
ham,Don't forget the class at 2pm.
spam,You are selected for a FREE iPhone! Reply STOP to unsubscribe.
ham,Sharing the slides shortly.
spam,Final notice: Outstanding payment of $2500. Pay at http://offer-now.com.
ham,Don't forget the class at 8pm.
spam,New message: 'You won'. Read at http://tinyurl.com/verify.
ham,Sharing the slides shortly.
spam,Claim your reward card worth $1000 at http://secure-check.com.
spam,"Final notice: Outstanding payment of $10,000. Pay at http://tinyurl.com/verify."
spam,Congratulations! You have won a MacBook. Click http://bit.ly/claim to claim now.
spam,"Claim your reward card worth $10,000 at http://tinyurl.com/verify."
ham,Sharing the slides shortly.
spam,Security alert: suspicious login detected. Reset at http://secure-check.com.
ham,Don't forget the class at 6pm.
spam,Limited time offer! Get 60% off on laptop. Visit http://tinyurl.com/verify.
ham,Sharing the slides shortly.
spam,Your parcel is waiting for delivery fee. Pay at http://bit.ly/claim.
spam,Final notice: Outstanding payment of $2500. Pay at http://tinyurl.com/verify.
spam,Exclusive deal ends today. Confirm here: http://bit.ly/claim.
ham,Call me when you're free.
ham,Server maintenance scheduled at 2pm.
spam,You won a lottery of $1000. Provide details at http://offer-now.com.
spam,You won a lottery of $2500. Provide details at http://tinyurl.com/verify.
spam,You won a lottery of $1000. Provide details at http://secure-check.com.
spam,URGENT: Your account will be suspended. Verify at http://tinyurl.com/verify.
ham,Meeting rescheduled to 4:30pm.
ham,Let’s have lunch at Goa around 10am.
ham,Did you receive my email?
spam,Security alert: suspicious login detected. Reset at http://tinyurl.com/verify.
ham,Call me when you're free.
spam,New message: 'You won'. Read at http://tinyurl.com/verify.
ham,Thanks for your help today!
spam,Limited time offer! Get 70% off on laptop. Visit http://offer-now.com.
spam,You won a lottery of $2500. Provide details at http://offer-now.com.
ham,Can you check the report and confirm?
ham,Don't forget the class at 6pm.
ham,Can you check the report and confirm?
spam,Claim your reward card worth $2500 at http://bit.ly/claim.
ham,Don't forget the class at 2pm.
ham,Can you check the report and confirm?
spam,Hot stock tip! Double your money. More info: http://offer-now.com.
ham,Don't forget the class at 10am.
ham,Thanks for your help today!
ham,Where are you now?
ham,Can you send me the notes from today's lecture?
spam,Limited time offer! Get 70% off on headphones. Visit http://bit.ly/claim.
ham,The assignment is due on Monday.
ham,Call me when you're free.
ham,Please review the document and share feedback.
ham,The assignment is due on tomorrow.
ham,Please review the document and share feedback.
ham,Please review the document and share feedback.
spam,Congratulations! You have won a gift card. Click http://offer-now.com to claim now.
ham,Please review the document and share feedback.
spam,"You won a lottery of $10,000. Provide details at http://secure-check.com."
spam,Congratulations! You have won a iPhone. Click http://secure-check.com to claim now.
ham,Bring your ID card tomorrow.
ham,Can you check the report and confirm?
spam,You've been chosen for a MacBook. Act now: http://bit.ly/claim.
ham,Let’s have lunch at Dubai around 10am.
ham,Let’s have lunch at Bali around 4:30pm.
ham,Did you receive my email?
ham,Where are you now?
spam,Claim your reward card worth $1000 at http://offer-now.com.
ham,Call me when you're free.
spam,Limited time offer! Get 70% off on laptop. Visit http://secure-check.com.
ham,Sharing the slides shortly.
ham,Sharing the slides shortly.
spam,URGENT: Your account will be suspended. Verify at http://secure-check.com.
spam,New message: 'You won'. Read at http://bit.ly/claim.
ham,I'll be late by 10 minutes.
ham,Please review the document and share feedback.
spam,"Claim your reward card worth $10,000 at http://tinyurl.com/verify."
spam,Get rich quick! Earn $1000 per week. Sign up at http://offer-now.com.
spam,Exclusive deal ends today. Confirm here: http://bit.ly/claim.
spam,You won a lottery of $2500. Provide details at http://tinyurl.com/verify.
spam,You won a lottery of $2500. Provide details at http://bit.ly/claim.
spam,URGENT: Your account will be suspended. Verify at http://bit.ly/claim.
spam,Security alert: suspicious login detected. Reset at http://tinyurl.com/verify.
spam,Free vacation to Bali! Confirm booking at http://bit.ly/claim.
spam,"Get rich quick! Earn $10,000 per week. Sign up at http://tinyurl.com/verify."
spam,You've been chosen for a MacBook. Act now: http://offer-now.com.
spam,Your parcel is waiting for delivery fee. Pay at http://tinyurl.com/verify.
spam,URGENT: Your account will be suspended. Verify at http://offer-now.com.
ham,Meeting rescheduled to 4:30pm.
ham,Happy birthday! Have a great day.
spam,You are selected for a FREE iPhone! Reply STOP to unsubscribe.
ham,The assignment is due on tomorrow.
ham,Don't forget the class at 4:30pm.
spam,You won a lottery of $1000. Provide details at http://tinyurl.com/verify.
ham,Did you receive my email?
ham,I'll be late by 10 minutes.
ham,Don't forget the class at 10am.
ham,Did you receive my email?
spam,Limited time offer! Get 50% off on smart TV. Visit http://tinyurl.com/verify.
spam,URGENT: Your account will be suspended. Verify at http://secure-check.com.
ham,Let’s have lunch at Dubai around 6pm.
spam,Get rich quick! Earn $500 per week. Sign up at http://tinyurl.com/verify.
spam,Congratulations! You have won a MacBook. Click http://secure-check.com to claim now.
spam,Claim your reward card worth $500 at http://tinyurl.com/verify.
spam,You are selected for a FREE voucher! Reply STOP to unsubscribe.
ham,Can you send me the notes from today's lecture?
ham,Call me when you're free.
ham,Can you check the report and confirm?
ham,I'll call you after 2pm.
ham,Did you receive my email?
ham,The assignment is due on Monday.
ham,Call me when you're free.
ham,Server maintenance scheduled at 6pm.
spam,New message: 'You won'. Read at http://offer-now.com.
spam,Your parcel is waiting for delivery fee. Pay at http://bit.ly/claim.
spam,Get rich quick! Earn $500 per week. Sign up at http://bit.ly/claim.
spam,Limited time offer! Get 30% off on smart TV. Visit http://secure-check.com.
spam,Hot stock tip! Double your money. More info: http://offer-now.com.
spam,Free vacation to Maldives! Confirm booking at http://offer-now.com.
ham,Please review the document and share feedback.
ham,Sharing the slides shortly.
ham,I'll call you after 2pm.
ham,Payment received. Thank you.
spam,You've been chosen for a smartwatch. Act now: http://tinyurl.com/verify.
ham,Call me when you're free.
ham,Can you check the report and confirm?
spam,Hot stock tip! Double your money. More info: http://bit.ly/claim.
spam,Congratulations! You have won a voucher. Click http://secure-check.com to claim now.
spam,Final notice: Outstanding payment of $1000. Pay at http://bit.ly/claim.
ham,Where are you now?
ham,Please review the document and share feedback.
ham,Sharing the slides shortly.
ham,Don't forget the class at 8pm.
spam,Limited time offer! Get 40% off on smart TV. Visit http://tinyurl.com/verify.
spam,Security alert: suspicious login detected. Reset at http://secure-check.com.
ham,Payment received. Thank you.
spam,URGENT: Your account will be suspended. Verify at http://tinyurl.com/verify.
spam,Your parcel is waiting for delivery fee. Pay at http://tinyurl.com/verify.
spam,New message: 'You won'. Read at http://secure-check.com.
ham,Bring your ID card tomorrow.
spam,Hot stock tip! Double your money. More info: http://bit.ly/claim.
spam,Congratulations! You have won a iPhone. Click http://tinyurl.com/verify to claim now.
ham,Did you receive my email?
spam,New message: 'You won'. Read at http://bit.ly/claim.
ham,I'll call you after 6pm.
spam,Security alert: suspicious login detected. Reset at http://tinyurl.com/verify.
ham,Can you check the report and confirm?
spam,Exclusive deal ends today. Confirm here: http://offer-now.com.
spam,Congratulations! You have won a MacBook. Click http://offer-now.com to claim now.
spam,You've been chosen for a iPhone. Act now: http://tinyurl.com/verify.
spam,Claim your reward card worth $500 at http://secure-check.com.
spam,Your parcel is waiting for delivery fee. Pay at http://tinyurl.com/verify.
ham,Where are you now?
ham,Don't forget the class at 4:30pm.
spam,URGENT: Your account will be suspended. Verify at http://offer-now.com.
ham,Thanks for your help today!
spam,Your parcel is waiting for delivery fee. Pay at http://secure-check.com.
spam,URGENT: Your account will be suspended. Verify at http://secure-check.com.
spam,New message: 'You won'. Read at http://bit.ly/claim.
ham,Meeting rescheduled to 10am.
spam,Free vacation to Maldives! Confirm booking at http://bit.ly/claim.
ham,Can you send me the notes from today's lecture?
spam,URGENT: Your account will be suspended. Verify at http://offer-now.com.
ham,Did you receive my email?
ham,Server maintenance scheduled at 6pm.
ham,Sharing the slides shortly.
ham,Thanks for your help today!
ham,Thanks for your help today!
ham,Did you receive my email?
spam,Exclusive deal ends today. Confirm here: http://tinyurl.com/verify.
spam,Free vacation to Dubai! Confirm booking at http://secure-check.com.
spam,New message: 'You won'. Read at http://tinyurl.com/verify.
spam,Exclusive deal ends today. Confirm here: http://secure-check.com.
ham,Let’s work on the project this weekend.
ham,Server maintenance scheduled at 6pm.
ham,Payment received. Thank you.
spam,Limited time offer! Get 70% off on phone plan. Visit http://bit.ly/claim.
spam,"Get rich quick! Earn $10,000 per week. Sign up at http://bit.ly/claim."
ham,Bring your ID card tomorrow.
ham,I'll be late by 10 minutes.
spam,Congratulations! You have won a iPhone. Click http://tinyurl.com/verify to claim now.
spam,New message: 'You won'. Read at http://offer-now.com.
spam,Free vacation to Maldives! Confirm booking at http://secure-check.com.
spam,Get rich quick! Earn $1000 per week. Sign up at http://secure-check.com.
spam,URGENT: Your account will be suspended. Verify at http://bit.ly/claim.
ham,Please review the document and share feedback.
spam,Limited time offer! Get 40% off on smart TV. Visit http://tinyurl.com/verify.
spam,Congratulations! You have won a iPhone. Click http://offer-now.com to claim now.
spam,Claim your reward card worth $500 at http://secure-check.com.
spam,"Final notice: Outstanding payment of $10,000. Pay at http://tinyurl.com/verify."
spam,Final notice: Outstanding payment of $500. Pay at http://bit.ly/claim.
ham,Let’s work on the project this weekend.
ham,Call me when you're free.
ham,Let’s work on the project this weekend.
ham,Can you check the report and confirm?
spam,Free vacation to Maldives! Confirm booking at http://tinyurl.com/verify.
ham,"Hey, are we meeting tomorrow at 8pm?"
ham,"Hey, are we meeting tomorrow at 10am?"
ham,I'll be late by 10 minutes.
spam,You won a lottery of $2500. Provide details at http://bit.ly/claim.
ham,Thanks for your help today!
ham,The assignment is due on Monday.
ham,Let’s have lunch at Dubai around 4:30pm.
spam,"Get rich quick! Earn $10,000 per week. Sign up at http://tinyurl.com/verify."
spam,URGENT: Your account will be suspended. Verify at http://bit.ly/claim.
spam,URGENT: Your account will be suspended. Verify at http://secure-check.com.
ham,Let’s work on the project this weekend.
spam,You won a lottery of $1000. Provide details at http://offer-now.com.
spam,You've been chosen for a gift card. Act now: http://bit.ly/claim.
ham,Can you check the report and confirm?
ham,Don't forget the class at 4:30pm.
ham,Can you check the report and confirm?
